Name,Source,Page,Size,Type,Alignment,AC,HP,Speed,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,Senses,Languages,CR,Traits,Actions,Bonus Actions,Reactions,Legendary Actions,Mythic Actions,Lair Actions,Regional Effects,Environment
Aarakocra,MM,12,Medium,Humanoid (Aarakocra),neutral good,12,13 (3d8),"20 ft., fly 50 ft.",10,14,10,11,12,11,,Perception +5,,,,,passive Perception 15,"Auran, Aarakocra",1," Dive Attack. If the aarakocra is flying and dives at least 30 feet straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target."," Talon. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage. Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Summon Air Elemental. Five aarakocra within 30 feet of each other can magically summon an air elemental. Each of the five must use its action and movement on three consecutive turns to perform an aerial dance and must maintain concentration while doing so (as if concentrating on a spell). When all five have finished their third turn of the dance, the elemental appears in an unoccupied space within 60 feet of them. It is friendly toward them and obeys their spoken commands. It remains for 1 hour, until it or all its summoners die, or until any of its summoners dismisses it as a bonus action. A summoner can't perform the dance again until it finishes a short rest. When the elemental returns to the Elemental Plane of Air, any aarakocra within 5 feet of it can return with it.",,,,,,,Mountain
Aarakocra Simulacrum,SKT,188,Medium,Humanoid (Aarakocra),neutral good,12,6 (3d4),"20 ft., fly 50 ft.",10,14,10,11,12,11,,Perception +5,,,,,passive Perception 15,"Auran, Aarakocra",1," Dive Attack. If the aarakocra is flying and dives at least 30 feet straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target. Simulacra. When a simulacrum drops to 0 hit points or is subjected to a successful dispel magic spell (DC 17), it reverts to ice and snow and is destroyed."," Talon. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage. Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Summon Air Elemental. Five aarakocra within 30 feet of each other can magically summon an air elemental. Each of the five must use its action and movement on three consecutive turns to perform an aerial dance and must maintain concentration while doing so (as if concentrating on a spell). When all five have finished their third turn of the dance, the elemental appears in an unoccupied space within 60 feet of them. It is friendly toward them and obeys their spoken commands. It remains for 1 hour, until it or all its summoners die, or until any of its summoners dismisses it as a bonus action. A summoner can't perform the dance again until it finishes a short rest. When the elemental returns to the Elemental Plane of Air, any aarakocra within 5 feet of it can return with it.",,,,,,,
Aarakocra Spelljammer,LoX,43,Medium,Humanoid (Aarakocra),any alignment,12 (15 with mage armor),40 (9d8),"30 ft., fly 50 ft.",9,14,11,17,12,11,"Int +6, Wis +4","Arcana +6, History +6",,,,,passive Perception 11,any four languages,6," Spellcasting. The aarakocra is a 9th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 14, +6 to hit with spell attacks). The aarakocra has the following wizard spells prepared:Cantrips (at will): fire bolt, light, mage hand, prestidigitation1st level (4 slots): detect magic, mage armor, magic missile, shield2nd level (3 slots): misty step, suggestion3rd level (3 slots): counterspell, fireball, fly4th level (3 slots): greater invisibility, ice storm5th level (1 slot): cone of cold"," Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.",,,,,,,
Aartuk Elder,BAM,8,Large,Plant,lawful evil,16 (natural armor),75 (10d10 + 20),"20 ft., climb 20 ft.",18,10,15,12,14,12,,,,,,,"darkvision 60 ft., passive Perception 12",Aartuk,3," Spider Climb. The aartuk can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Multiattack. The aartuk makes two Branch attacks, two Radiant Pellet attacks, or one of each. Branch. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage. Radiant Pellet. Ranged Spell Attack: +4 to hit, range 60 ft., one target. Hit: 10 (4d4) radiant damage. Spellcasting (Psionics). The aartuk casts one of the following spells, requiring no spell components and using Wisdom as the spellcasting ability (spell save DC 12):1/day each: calm emotions, detect magic, sending"," Tongue (Recharge 6). The aartuk tries to use its gooey tongue to snare one Large or smaller creature it can see within 30 feet of itself. The target must make a DC 12 Dexterity saving throw. On a failed save, the target is grappled by the tongue (escape DC 14) and pulled up to 25 feet toward the aartuk. The tongue can grapple one creature at a time.",,,,,,
Aartuk Starhorror,BAM,9,Medium,Plant,lawful evil,14 (natural armor),52 (8d8 + 16),"20 ft., climb 20 ft.",12,10,14,13,16,10,,Stealth +4,,,,,"darkvision 60 ft., passive Perception 13",Aartuk,2," Spider Climb. The aartuk can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Multiattack. The aartuk makes two Branch attacks, two Radiant Pellet attacks, or one of each. Branch. Melee Weapon Attack: +3 to hit, reach 10 ft., one target. Hit: 8 (2d6 + 1) bludgeoning damage. Radiant Pellet. Ranged Spell Attack: +2 to hit, range 60 ft., one target. Hit: 7 (3d4) radiant damage. Spellcasting (Psionics). The aartuk casts one of the following spells, requiring no spell components and using Wisdom as the spellcasting ability:1/day each: revivify, speak with plants"," Rally the Troops (1/Day). The aartuk magically ends the charmed and frightened conditions on itself and each creature of its choice that it can see within 30 feet of itself. Tongue (Recharge 6). The aartuk tries to use its gooey tongue to snare one Medium or smaller creature it can see within 30 feet of itself. The target must make a DC 12 Dexterity saving throw. On a failed save, the target is grappled by the tongue (escape DC 11) and pulled up to 25 feet toward the aartuk. The tongue can grapple one creature at a time.",,,,,,
Aartuk Weedling,BAM,9,Medium,Plant,lawful evil,15 (natural armor),38 (7d8 + 7),"20 ft., climb 20 ft.",14,12,13,10,13,10,,,,,,,"darkvision 60 ft., passive Perception 11",Aartuk,2," Spider Climb. The aartuk can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Multiattack. The aartuk makes two Branch attacks, two Radiant Pellet attacks, or one of each. Branch. Melee Weapon Attack: +4 to hit, reach 10 ft., one target. Hit: 8 (2d6 + 2) bludgeoning damage. Radiant Pellet. Ranged Spell Attack: +3 to hit, range 60 ft., one target. Hit: 7 (3d4 + 1) radiant damage."," Tongue (Recharge 6). The aartuk tries to use its gooey tongue to snare one Medium or smaller creature it can see within 30 feet of itself. The target must make a DC 11 Dexterity saving throw. On a failed save, the target is grappled by the tongue (escape DC 12) and pulled up to 25 feet toward the aartuk. The tongue can grapple one creature at a time.",,,,,,
Aberrant Spirit,TCE,109,Medium,Aberration,unaligned,11 + the level of the spell (natural armor),40 + 10 for each spell level above 4th,"30 ft., fly 30 ft. (beholderkin only; hover)",16,10,15,16,10,6,,,,,psychic,,"darkvision 60 ft., passive Perception 10","Deep Speech, understands the languages you speak",," Regeneration (Slaad Only). The aberration regains 5 hit points at the start of its turn if it has at least 1 hit point. Whispering Aura (Star Spawn Only). At the start of each of the aberration's turns, each creature within 5 feet of the aberration must succeed on a Wisdom saving throw against your spell save DC or take 2d6 psychic damage, provided that the aberration isn't incapacitated."," Multiattack. The aberration makes a number of attacks equal to half this spell's level (rounded down). Eye Ray (Beholderkin Only). Ranged Spell Attack: your spell attack modifier to hit, range 150 ft., one creature. Hit: 1d8 + 3 + the spell's level psychic damage. Claws (Slaad Only). Melee Weapon Attack: your spell attack modifier to hit, reach 5 ft., one target. Hit: 1d10 + 3 + the spell's level slashing damage. If the target is a creature, it can't regain hit points until the start of the aberration's next turn. Psychic Slam (Star Spawn Only). Melee Spell Attack: your spell attack modifier to hit, reach 5 ft., one creature. Hit: 1d8 + 3 + the spell's level psychic damage.",,,,,,,
Aberrant Zealot,PaBTSO,203,Medium,Aberration,chaotic evil,16 (studded leather armor),93 (17d8 + 17),30 ft.,15,18,12,13,8,19,"Dex +7, Cha +7",Perception +5,,psychic,,"blinded, charmed, frightened, grappled, restrained","darkvision 60 ft., truesight 10 ft., passive Perception 15","Common, Deep Speech",8," Aberrant Form. The zealot exudes the chaos of the Far Realm. Any non-Aberration creature that starts its turn within 5 feet of the zealot must succeed on a DC 15 Wisdom saving throw or take 7 (2d6) psychic damage. Weirdly Pliable. The zealot, along with any equipment it is wearing or carrying, is unnaturally flexible. The zealot can move through any space as narrow as 1 inch without squeezing."," Multiattack. The zealot makes one Psychic Rend attack and two Shortsword attacks. Psychic Rend. Melee or Ranged Spell Attack: +7 to hit, reach 15 ft. or range 120 ft., one target. Hit: 14 (3d6 + 4) psychic damage, and the target must succeed on a DC 15 Wisdom saving throw or have the stunned condition until the start of the zealot's next turn. Shortsword. Melee Weapon Attack: +7 to hit, reach 15 ft., one target. Hit: 7 (1d6 + 4) piercing damage plus 7 (2d6) psychic damage. Spellcasting (Psionics). The zealot casts one of the following spells, requiring no components and using Charisma as the spellcasting ability (spell save DC 15):At will: detect thoughts, minor illusion1/day each: arcane gate, hunger of Hadar"," Void Warp (Recharge 5–6). The zealot teleports, along with any equipment it is wearing or carrying, to an unoccupied space it can see within 120 feet of itself, leaving a churning void in the space it left. Immediately after it teleports, each creature within 30 feet of the void other than the zealot must make a DC 15 Strength saving throw. On a failed save, a creature takes 18 (4d8) force damage and is pulled to the unoccupied space closest to the void. On a successful save, the creature takes half as much damage only. The void then disappears.",,,,,,
Aberrant Zealot (Tentacled),PaBTSO,181,Medium,Aberration,chaotic evil,16 (studded leather armor),93 (17d8 + 17),30 ft.,15,18,12,13,8,19,"Dex +7, Cha +7",Perception +5,,psychic,,"blinded, charmed, frightened, grappled, restrained","darkvision 60 ft., truesight 10 ft., passive Perception 15","Common, Deep Speech",8," Aberrant Form. The zealot exudes the chaos of the Far Realm. Any non-Aberration creature that starts its turn within 5 feet of the zealot must succeed on a DC 15 Wisdom saving throw or take 7 (2d6) psychic damage. Weirdly Pliable. The zealot, along with any equipment it is wearing or carrying, is unnaturally flexible. The zealot can move through any space as narrow as 1 inch without squeezing."," Multiattack. The zealot makes one Psychic Rend attack and two Shortsword attacks. Psychic Rend. Melee or Ranged Spell Attack: +7 to hit, reach 15 ft. or range 120 ft., one target. Hit: 14 (3d6 + 4) psychic damage, and the target must succeed on a DC 15 Wisdom saving throw or have the stunned condition until the start of the zealot's next turn. Shortsword. Melee Weapon Attack: +7 to hit, reach 15 ft., one target. Hit: 7 (1d6 + 4) piercing damage plus 7 (2d6) psychic damage. Mind Blast (Recharge 5–6). The zealot magically emits psychic energy in a 60-foot cone. Each creature in that area must succeed on a DC 15 Intelligence saving throw or take 22 (4d8 + 4) psychic damage and have the stunned condition for 1 minute. A target can repeat the saving throw at the end of each of its turns, ending the stunned condition on itself on a success. Spellcasting (Psionics). The zealot casts one of the following spells, requiring no components and using Charisma as the spellcasting ability (spell save DC 15):At will: detect thoughts, minor illusion1/day each: arcane gate, hunger of Hadar"," Void Warp (Recharge 5–6). The zealot teleports, along with any equipment it is wearing or carrying, to an unoccupied space it can see within 120 feet of itself, leaving a churning void in the space it left. Immediately after it teleports, each creature within 30 feet of the void other than the zealot must make a DC 15 Strength saving throw. On a failed save, a creature takes 18 (4d8) force damage and is pulled to the unoccupied space closest to the void. On a successful save, the creature takes half as much damage only. The void then disappears.",,,,,,
Abhorrent Overlord,MOT,219,Large,Fiend,lawful evil,16 (natural armor),136 (16d10 + 48),"30 ft., fly 60 ft.",20,18,16,15,14,16,"Con +7, Cha +7","Deception +7, Intimidation +7, Persuasion +7",,"cold, necrotic",poison,poisoned,"darkvision 120 ft., passive Perception 12","Abyssal, Common, Infernal",9," Innate Spellcasting. The abhorrent overlord's spellcasting ability is Charisma (spell save DC 15). It can innately cast the following spells, requiring no material components:1/day each: confusion, crown of madness, suggestion Insatiable Greed. The abhorrent overlord can sense the presence of gold within 1,000 feet of itself. It can determine which location has the greatest amount of gold and can sense the direction to that site. If the gold is being moved, it knows the direction of the movement. It can't locate gold if any thickness of clay or lead, even a thin sheet, blocks a direct path between it and the gold. Magic Resistance. The abhorrent overlord has advantage on saving throws against spells and other magical effects."," Multiattack. The abhorrent overlord makes two attacks with its claws. Claws. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) slashing damage plus 14 (4d6) necrotic damage. The abhorrent overlord regains hit points equal to half the amount of necrotic damage dealt if the target is a creature. Storm of Crows (Recharge 6). The abhorrent overlord conjures a swarm of spectral crows and harpies in a 20-foot-radius sphere centered on a point the overlord can see within 120 feet of it. The sphere remains for 1 minute or until the overlord loses concentration (as if concentrating on a spell), and its area is lightly obscured and difficult terrain.Any creature that moves into the area for the first time on a turn or starts its turn there must make a DC 15 Constitution saving throw. A creature takes 16 (3d10) slashing damage plus 16 (3d10) psychic damage on a failed save, or half as much damage on a successful one.",,,,,,,
Abjurer Wizard,MPMM,260,Medium,Humanoid,any alignment,12 (15 with mage armor),104 (16d8 + 32),30 ft.,9,14,14,18,12,11,"Int +8, Wis +5","Arcana +8, History +8",,,,,passive Perception 11,any four languages,9,," Multiattack. The abjurer makes three Arcane Burst attacks. Arcane Burst. Melee or Ranged Spell Attack: +6 to hit, reach 5 ft. or range 120 ft., one target. Hit: 20 (3d10 + 4) force damage. Force Blast. Each creature in a 20-foot cube originating from the abjurer must make a DC 16 Constitution saving throw. On a failed save, a creature takes 36 (8d8) force damage and is pushed up to 10 feet away from the abjurer. On a successful save, a creature takes half as much damage and isn't pushed. Spellcasting. The abjurer casts one of the following spells, using Intelligence as the spellcasting ability (spell save DC 16):At will: dancing lights, mage hand, message, prestidigitation2/day each: dispel magic, lightning bolt, mage armor1/day each: arcane lock, banishment, globe of invulnerability, invisibility, wall of force",," Arcane Ward (Recharge 4–6). When the abjurer or a creature it can see within 30 feet of it takes damage, the abjurer magically creates a protective barrier around itself or the other creature. The barrier reduces the damage to the protected creature by 26 (4d10 + 4), to a minimum of 0, and then vanishes.",,,,,Urban
